id,name,role_description,init_att,gender,age,status,traits,interest,relation
674,Ian Hunter,"Ian Hunter is a 24-year-old female Correctional Officer who is unflappable, innovative, responsible, and has interests of baking, exploring, time management.",0.0280982,female,24,Correctional Officer,unflappable;innovative;responsible,baking;exploring;time management,"['Adam Diaz', 'Lyric Luna', 'Kyle Gray', 'Miles Rose', 'Natalie Moreno', 'Gabriel Castro', 'Ryder McKinney', 'Scarlett Peters', 'Damian May', 'Josiah Swanson', 'Finnian Tucker', 'Alina Rice', 'Colton Perkins', 'Finn Nguyen', 'Tatum Rodriguez', 'Colton Stone', 'Callan Huffman', 'Stella Hayes', 'Willow Payne', 'Finn Stevens', 'Amaya Wood', 'Lucy Bailey', 'Skylar Luna', 'Aria Riley', 'Arthur Myers', 'Isla Burton', 'Soren Robinson', 'Charles Ferguson', 'Josiah Davis', 'Warren Moreno', 'Addison Matthews', 'Stella Lee', 'Selene Henry', 'Amara Bell', 'Sebastian Hughes', 'Felix Dunn']"
212,Adam Diaz,"Adam Diaz is a 24-year-old male Sculptor who is disciplined, assertive, secure, and has interests of creating schedules, meeting new people, knitting.",0.1017658,male,24,Sculptor,disciplined;assertive;secure,creating schedules;meeting new people;knitting,"['Ian Hunter', 'Kyle Gray', 'Quincy Brooks', 'Damian Huffman', 'Natalie Moreno', 'Callan Sutton', 'Tessa Mendez', 'Finnian Tucker', 'Josiah Fleming', 'Amaya Thomas', 'Stella Hayes', 'Grace Day', 'Skylar Luna', 'Harper Stanley', 'Lily Graves', 'Amira Morgan', 'Rex Payne', 'Stella Lee', 'Julia Castillo', 'Selene Barnett']"
848,Lyric Luna,"Lyric Luna is a 42-year-old female Tour Guide who is steady, diligent, warm, imaginative, and has interests of knitting, improving efficiency, counseling, different philosophies.",0.249168,female,42,Tour Guide,steady;diligent;warm;imaginative,knitting;improving efficiency;counseling;different philosophies,"['Ian Hunter', 'Quincy Brooks', 'Abigail Morales', 'Khalil Shaw', 'Isla Burton', 'Eli Swanson7']"
415,Kyle Gray,"Kyle Gray is a 21-year-old male Entrepreneur who is methodical, lively, unconventional, and has interests of budgeting, attending concerts, virtual reality.",-0.2240644,male,21,Entrepreneur,methodical;lively;unconventional,budgeting;attending concerts;virtual reality,"['Ian Hunter', 'Adam Diaz', 'Callan Sutton']"
316,Quincy Brooks,"Quincy Brooks is a 19-year-old male UX/UI Designer who is open-minded, talkative, level-headed, reliable, kind, and has interests of exploring music genres, dancing, painting, setting priorities, organizing events.",0.2256793,male,19,UX/UI Designer,open-minded;talkative;level-headed;reliable;kind,exploring music genres;dancing;painting;setting priorities;organizing events,"['Adam Diaz', 'Lyric Luna', 'Miles Rose', 'Damian Huffman', 'Lucas Bush', 'Damian May', 'Tessa Mendez', 'Abigail Morales', 'Alina Rice', 'Colton Perkins', 'Colton Stone', 'Aisling Garza', 'Finn Stevens', 'Makayla Snyder', 'Rowan Murphy', 'Kade Neal', 'Gideon Carlson', 'Marley Cook', 'Peter King', 'Dahlia Hamilton', 'Thomas Barber', 'Selene Henry', 'Miles Hale', 'Nora Hale', 'Selene Barnett']"
564,Miles Rose,"Miles Rose is a 24-year-old female Human Resources Manager who is broad-minded, compassionate, organized, resilient, and has interests of new cuisines, joining social causes, studying, swimming.",-0.1305269,female,24,Human Resources Manager,broad-minded;compassionate;organized;resilient,new cuisines;joining social causes;studying;swimming,"['Ian Hunter', 'Quincy Brooks', 'Scarlett Peters', 'Lucas Bush', 'Tatum Rodriguez', 'Lila Jackson', 'Aisling Garza', 'Aiden Soto', 'Jeremiah Wallace', 'Sebastian Ward', 'Isaac Santiago', 'Kade Neal', 'Amira Morgan']"
348,Damian Huffman,"Damian Huffman is a 27-year-old male Market Research Analyst who is punctual, adventurous, relaxed, broad-minded, and has interests of maintaining cleanliness, exploring new places, cooking, designing.",0.3277724,male,27,Market Research Analyst,punctual;adventurous;relaxed;broad-minded,maintaining cleanliness;exploring new places;cooking;designing,"['Adam Diaz', 'Quincy Brooks', 'Gabriel Castro', 'Wren Lowe', 'Gideon Martin', 'Marlowe Kim', 'Arthur Myers', 'Samara Vasquez', 'Soren Robinson', 'Christopher Bryant']"
568,Natalie Moreno,"Natalie Moreno is a 55-year-old female Promotions Coordinator who is adventurous, efficient, unconventional, friendly, unflappable, and has interests of participating in group activities, organizing, virtual reality, mediating conflicts, photography.",-0.1685606,female,55,Promotions Coordinator,adventurous;efficient;unconventional;friendly;unflappable,participating in group activities;organizing;virtual reality;mediating conflicts;photography,"['Ian Hunter', 'Adam Diaz', 'Lucia Franklin']"
14,Callan Sutton,"Callan Sutton is a 54-year-old male Filmmaker who is adventurous, grounded, versatile, and has interests of running, knitting, experimenting.",0.0178886,male,54,Filmmaker,adventurous;grounded;versatile,running;knitting;experimenting,"['Adam Diaz', 'Kyle Gray', 'Ryder McKinney', 'Josiah Swanson', 'Finn Nguyen', 'Aaliyah Stone']"
201,Gabriel Castro,"Gabriel Castro is a 19-year-old male Housekeeping Supervisor who is diligent, outgoing, composed, unconventional, friendly, and has interests of researching, attending festivals, nature walks, visiting museums, organizing events.",0.1509636,male,19,Housekeeping Supervisor,diligent;outgoing;composed;unconventional;friendly,researching;attending festivals;nature walks;visiting museums;organizing events,"['Ian Hunter', 'Damian Huffman']"
918,Ryder McKinney,"Ryder McKinney is a 33-year-old female Tutor who is innovative, level-headed, enthusiastic, diligent, generous, and has interests of different philosophies, cooking, playing team sports, developing strategies, organizing events.",-0.2042904,female,33,Tutor,innovative;level-headed;enthusiastic;diligent;generous,different philosophies;cooking;playing team sports;developing strategies;organizing events,"['Ian Hunter', 'Callan Sutton', 'Willow Payne', 'Bella Perez', 'Thomas Harris', 'Hunter Bennett', 'Rhys Stephens2']"
838,Scarlett Peters,"Scarlett Peters is a 49-year-old male Operations Manager who is relaxed, friendly, enthusiastic, and has interests of knitting, helping others, traveling.",-0.0615979,male,49,Operations Manager,relaxed;friendly;enthusiastic,knitting;helping others;traveling,"['Ian Hunter', 'Miles Rose', 'Charles Ferguson']"
419,Lucas Bush,"Lucas Bush is a 25-year-old male Copywriter who is original, sociable, considerate, secure, and has interests of different philosophies, attending festivals, attending community meetings, meditation.",0.5587406,male,25,Copywriter,original;sociable;considerate;secure,different philosophies;attending festivals;attending community meetings;meditation,"['Quincy Brooks', 'Miles Rose', 'Marlowe Kim', 'Damian Dawson']"
956,Damian May,"Damian May is a 21-year-old female Physical Therapist who is secure, punctual, enthusiastic, empathetic, creative, and has interests of gardening, developing strategies, meeting new people, supporting charities, new languages.",0.1399852,female,21,Physical Therapist,secure;punctual;enthusiastic;empathetic;creative,gardening;developing strategies;meeting new people;supporting charities;new languages,"['Ian Hunter', 'Quincy Brooks', 'Aaliyah Stone', 'Makayla Snyder']"
934,Josiah Swanson,"Josiah Swanson is a 40-year-old male Consultant who is confident, generous, relaxed, and has interests of exploring new places, encouraging teamwork, knitting.",-0.1318161,male,40,Consultant,confident;generous;relaxed,exploring new places;encouraging teamwork;knitting,"['Ian Hunter', 'Callan Sutton']"
535,Tessa Mendez,"Tessa Mendez is a 35-year-old male Software Developer who is methodical, balanced, enthusiastic, and has interests of analyzing data, birdwatching, joining clubs.",-0.2083745,male,35,Software Developer,methodical;balanced;enthusiastic,analyzing data;birdwatching;joining clubs,"['Adam Diaz', 'Quincy Brooks', 'Novah Haynes', 'Aria Riley', 'Bella Payne']"
943,Abigail Morales,"Abigail Morales is a 41-year-old female Marketing Specialist who is grounded, detail-oriented, lively, empathetic, and has interests of birdwatching, improving efficiency, attending meetups, encouraging teamwork.",-0.052634,female,41,Marketing Specialist,grounded;detail-oriented;lively;empathetic,birdwatching;improving efficiency;attending meetups;encouraging teamwork,"['Lyric Luna', 'Quincy Brooks', 'Josiah Fleming', 'Aiden Soto', 'Grace Day', 'Harper Stanley', 'Josiah Davis', 'Kingston Edwards']"
